scientificName,decimalLongitude,decimalLatitude
Halichoerus grypus,3.242598,51.344286
Halichoerus grypus,18.197,57.0137
Halichoerus grypus,-4.6792,48.5678
Halichoerus grypus,-59.687816,46.021958
Halichoerus grypus,17.36433,61.5235
Halichoerus grypus,19.10667,60.31533
Halichoerus grypus,-59.684475,46.022156
Halichoerus grypus,22.788651,58.162063
Halichoerus grypus,19.90067,63.42783
Halichoerus grypus,-3.983,57.633
Halichoerus grypus,-3.98676,48.7275
Halichoerus grypus,-59.684364,46.022544
Halichoerus grypus,20.03017,63.41367
Halichoerus grypus,-63.249133,45.815309
Halichoerus grypus,-59.684486,46.023688
Halichoerus grypus,22.788651,58.162063
Halichoerus grypus,12.91667,55.4
Halichoerus grypus,23.8615,65.63533
Halichoerus grypus,23.8798,65.6218
Halichoerus grypus,18.01667,59.33833
Halichoerus grypus,-68.523283,44.088302
Halichoerus grypus,-63.24216,45.814649
Halichoerus grypus,-59.684881,46.024481
Halichoerus grypus,17.36433,61.5235
Halichoerus grypus,19.90067,63.42783
Halichoerus grypus,-59.685463,46.023286
Halichoerus grypus,18.06667,57.3
Halichoerus grypus,-69.729333,47.801
Halichoerus grypus,-3.46412,47.63616
Halichoerus grypus,-3.214224288,54.04314904
Halichoerus grypus,19.3327,59.4861
Halichoerus grypus,-4.0362,48.7104
Halichoerus grypus,-59.684813,46.023205
Halichoerus grypus,16.8335,57.60333
Halichoerus grypus,19.5009,59.6241
Halichoerus grypus,-65.88,42.96
Halichoerus grypus,18.6027,58.9707
Halichoerus grypus,18.197,57.0137
Halichoerus grypus,18.8026,59.066
Halichoerus grypus,12.8114,55.3674
Halichoerus grypus,19.5009,59.6241
Halichoerus grypus,-3.409376267,54.84103477
Halichoerus grypus,-60.00256,43.92691
Halichoerus grypus,-59.684632,46.024651
Halichoerus grypus,-63.246587,45.815093
Halichoerus grypus,12.91667,55.4
Halichoerus grypus,17.36433,61.5235
Halichoerus grypus,-59.684182,46.021596
Halichoerus grypus,23.040764,58.966464
Halichoerus grypus,19.6165,59.6018
Halichoerus grypus,17.17183,58.50533
Halichoerus grypus,17.7113,60.5935
Halichoerus grypus,19.10667,60.31533
Halichoerus grypus,17.3232,58.5974
Halichoerus grypus,-1.6426,56.25224
Halichoerus grypus,-1.55,57.75
Halichoerus grypus,2.914037,51.234701
Halichoerus grypus,17.604,58.66267
Halichoerus grypus,18.3523,56.9616
Halichoerus grypus,12.91667,55.4
Halichoerus grypus,18.197,57.01367
Halichoerus grypus,-59.686562,46.02151
Halichoerus grypus,-59.684863,46.021489
Halichoerus grypus,-3.409376267,54.84103477
Halichoerus grypus,16.8335,57.60333
Halichoerus grypus,19.6009,59.6212
Halichoerus grypus,-3.6092,48.6696
