scientificName,decimalLongitude,decimalLatitude
Pagophilus groenlandicus,12.25,77.3
Pagophilus groenlandicus,44.4,70.75
Pagophilus groenlandicus,23.07,74.88
Pagophilus groenlandicus,18.1,76.58
Pagophilus groenlandicus,38.75,77.22
Pagophilus groenlandicus,48.82,75.67
Pagophilus groenlandicus,23.33,70.87
Pagophilus groenlandicus,17.78,76.47
Pagophilus groenlandicus,31.22,73.58
Pagophilus groenlandicus,-56.03,67.13
Pagophilus groenlandicus,25.02,71.28
Pagophilus groenlandicus,43.93,76.58
Pagophilus groenlandicus,-54.88,52.07
Pagophilus groenlandicus,16.45,76.35
Pagophilus groenlandicus,20.38,74.8
Pagophilus groenlandicus,17.83,74.83
Pagophilus groenlandicus,62.87,78.72
Pagophilus groenlandicus,-71.483056,41.368889
Pagophilus groenlandicus,33.62,79.78
Pagophilus groenlandicus,45.15,74.03
Pagophilus groenlandicus,1.78,79.75
Pagophilus groenlandicus,33.2,79.72
Pagophilus groenlandicus,14.67,76.67
Pagophilus groenlandicus,16.3,76.37
Pagophilus groenlandicus,45.03,77.18
Pagophilus groenlandicus,-83.18,74.48
Pagophilus groenlandicus,-72.3886,41.342222
Pagophilus groenlandicus,-60.05,47.0667
Pagophilus groenlandicus,-83.16,74.59
Pagophilus groenlandicus,37.18,76.68
Pagophilus groenlandicus,45.8,77.47
Pagophilus groenlandicus,36.63,79.48
Pagophilus groenlandicus,62.9,78.72
Pagophilus groenlandicus,19.6,79.55
Pagophilus groenlandicus,35.25,79.12
Pagophilus groenlandicus,-3.08,78.57
Pagophilus groenlandicus,45.5,74.23
Pagophilus groenlandicus,13.05,77.02
Pagophilus groenlandicus,-90.47,74.2
Pagophilus groenlandicus,37.97,77.18
Pagophilus groenlandicus,-4.8,77.15
Pagophilus groenlandicus,8.87,78.78
Pagophilus groenlandicus,2.17,78.72
Pagophilus groenlandicus,35.17,74.17
Pagophilus groenlandicus,17.45,76.03
Pagophilus groenlandicus,-71.324444,41.495278
Pagophilus groenlandicus,-53.139,49.9
Pagophilus groenlandicus,-1.23705,45.70384
Pagophilus groenlandicus,35.13,79.62
Pagophilus groenlandicus,-55.16,51.71
Pagophilus groenlandicus,-71.233889,41.701944
Pagophilus groenlandicus,-55.23,51.62
Pagophilus groenlandicus,30.85,70.18
Pagophilus groenlandicus,47.63,77.18
Pagophilus groenlandicus,15.13,75.43
Pagophilus groenlandicus,37.57,79.53
Pagophilus groenlandicus,39.18,77.2
Pagophilus groenlandicus,-16.93,72.85
Pagophilus groenlandicus,16.87,76.3
Pagophilus groenlandicus,-54.17,54.2
Pagophilus groenlandicus,40.37,77.17
Pagophilus groenlandicus,45,71
Pagophilus groenlandicus,-53.4695,71.025
Pagophilus groenlandicus,-54.94,51.97
Pagophilus groenlandicus,-54.97,51.88
Pagophilus groenlandicus,10.42,79.45
Pagophilus groenlandicus,10.4,79.75
Pagophilus groenlandicus,15.65,76.32
Pagophilus groenlandicus,16.13,76.17
Pagophilus groenlandicus,-61.454,56.545
Pagophilus groenlandicus,25.35,74.33
Pagophilus groenlandicus,15.35,76.67
Pagophilus groenlandicus,19.67,75.22
Pagophilus groenlandicus,29.62,75.75
Pagophilus groenlandicus,-71.245556,41.618333
Pagophilus groenlandicus,-16.97,72.72
Pagophilus groenlandicus,-92.72,74.29
Pagophilus groenlandicus,48.58,71.58
Pagophilus groenlandicus,38.83,71.65
Pagophilus groenlandicus,33.38,75.1
Pagophilus groenlandicus,28.17,74.73
Pagophilus groenlandicus,26.9,74.72
Pagophilus groenlandicus,-55.17,51.7
Pagophilus groenlandicus,45,71
Pagophilus groenlandicus,11.05,78.22
Pagophilus groenlandicus,-4.78,76.73
Pagophilus groenlandicus,26.87,74.73
Pagophilus groenlandicus,13.78,76.75
Pagophilus groenlandicus,37.15,76.25
Pagophilus groenlandicus,24.83,74.82
Pagophilus groenlandicus,37.12,78.47
Pagophilus groenlandicus,42.83,70.22
Pagophilus groenlandicus,20.88,74.73
Pagophilus groenlandicus,37.5,72.08
Pagophilus groenlandicus,63.05,78.73
Pagophilus groenlandicus,16.4,76.3
Pagophilus groenlandicus,15.13,76
Pagophilus groenlandicus,17.58,76.52
Pagophilus groenlandicus,2.9,74.62
